"opt_k","trial","cde","sujeto","sesion","phase","cum_trial"
3,1,2,"M326",30,"aco",1
3,1,2,"M326",30,"aco",2
4,1,1,"M326",30,"aco",1
4,1,1,"M326",30,"aco",2
1,1,2,"M327",30,"aco",1
3,1,2,"M327",30,"aco",2
4,1,1,"M327",30,"aco",1
4,1,1,"M327",30,"aco",2
1,1,2,"M328",30,"aco",1
4,1,2,"M328",30,"aco",2
2,1,1,"M328",30,"aco",1
2,1,1,"M328",30,"aco",2
3,1,2,"M329",30,"aco",1
4,1,2,"M329",30,"aco",2
2,1,1,"M329",30,"aco",1
2,1,1,"M329",30,"aco",2
3,1,2,"M330",30,"aco",1
3,1,2,"M330",30,"aco",2
4,1,1,"M330",30,"aco",1
2,1,1,"M330",30,"aco",2
4,1,2,"M331",30,"aco",1
1,1,2,"M331",30,"aco",2
4,1,1,"M331",30,"aco",1
4,1,1,"M331",30,"aco",2
3,1,2,"M332",30,"aco",1
4,1,2,"M332",30,"aco",2
4,1,1,"M332",30,"aco",1
4,1,1,"M332",30,"aco",2
3,1,1,"M332",30,"aco",3
3,1,2,"M333",30,"aco",1
3,1,2,"M333",30,"aco",2
4,1,1,"M333",30,"aco",1
4,1,1,"M333",30,"aco",2
4,1,2,"M326",29,"aco",3
4,1,2,"M326",29,"aco",4
2,1,1,"M326",29,"aco",3
4,1,1,"M326",29,"aco",4
3,1,2,"M327",29,"aco",3
3,1,2,"M327",29,"aco",4
4,1,2,"M328",29,"aco",3
4,1,2,"M328",29,"aco",4
4,1,1,"M328",29,"aco",3
2,1,1,"M328",29,"aco",4
4,1,2,"M329",29,"aco",3
3,1,2,"M329",29,"aco",4
2,1,1,"M329",29,"aco",3
2,1,1,"M329",29,"aco",4
3,1,2,"M330",29,"aco",3
3,1,2,"M330",29,"aco",4
4,1,1,"M330",29,"aco",3
4,1,1,"M330",29,"aco",4
4,1,2,"M331",29,"aco",3
4,1,2,"M331",29,"aco",4
3,1,1,"M331",29,"aco",3
4,1,1,"M331",29,"aco",4
4,1,1,"M331",29,"aco",5
4,1,2,"M332",29,"aco",3
4,1,2,"M332",29,"aco",4
4,1,2,"M332",29,"aco",5
3,1,1,"M332",29,"aco",4
3,1,1,"M332",29,"aco",5
4,1,1,"M332",29,"aco",6
4,1,2,"M333",29,"aco",3
3,1,2,"M333",29,"aco",4
4,1,1,"M333",29,"aco",3
4,1,1,"M333",29,"aco",4
4,1,2,"M326",28,"aco",5
3,1,2,"M326",28,"aco",6
3,1,2,"M326",28,"aco",7
2,1,1,"M326",28,"aco",5
4,1,1,"M326",28,"aco",6
3,1,2,"M327",28,"aco",5
3,1,2,"M327",28,"aco",6
2,1,1,"M327",28,"aco",3
4,1,2,"M328",28,"aco",5
4,1,2,"M328",28,"aco",6
4,1,2,"M328",28,"aco",7
2,1,1,"M328",28,"aco",5
2,1,1,"M328",28,"aco",6
4,1,2,"M329",28,"aco",5
4,1,2,"M329",28,"aco",6
2,1,1,"M329",28,"aco",5
2,1,1,"M329",28,"aco",6
3,1,2,"M330",28,"aco",5
4,1,2,"M330",28,"aco",6
4,1,1,"M330",28,"aco",5
4,1,1,"M330",28,"aco",6
4,1,1,"M330",28,"aco",7
3,1,2,"M331",28,"aco",5
4,1,2,"M331",28,"aco",6
1,1,1,"M331",28,"aco",6
3,1,1,"M331",28,"aco",7
4,1,2,"M332",28,"aco",6
4,1,2,"M332",28,"aco",7
3,1,1,"M332",28,"aco",7
4,1,1,"M332",28,"aco",8
3,1,2,"M333",28,"aco",5
3,1,2,"M333",28,"aco",6
3,1,1,"M333",28,"aco",5
4,1,1,"M333",28,"aco",6
4,1,2,"M326",27,"aco",8
1,1,2,"M326",27,"aco",9
3,1,2,"M326",27,"aco",10
2,1,1,"M326",27,"aco",7
2,1,1,"M326",27,"aco",8
3,1,2,"M327",27,"aco",7
3,1,2,"M327",27,"aco",8
2,1,1,"M328",27,"aco",7
4,1,2,"M329",27,"aco",7
3,1,2,"M329",27,"aco",8
2,1,1,"M329",27,"aco",7
2,1,1,"M329",27,"aco",8
3,1,2,"M330",27,"aco",7
3,1,2,"M330",27,"aco",8
3,1,1,"M330",27,"aco",8
4,1,1,"M330",27,"aco",9
4,1,2,"M332",27,"aco",8
3,1,2,"M332",27,"aco",9
3,1,1,"M332",27,"aco",9
3,1,1,"M332",27,"aco",10
3,1,2,"M333",27,"aco",7
3,1,2,"M333",27,"aco",8
4,1,1,"M333",27,"aco",7
4,1,1,"M333",27,"aco",8
4,1,2,"M326",26,"aco",11
3,1,2,"M326",26,"aco",12
4,1,1,"M326",26,"aco",9
2,1,1,"M326",26,"aco",10
3,1,2,"M327",26,"aco",9
3,1,2,"M327",26,"aco",10
2,1,1,"M327",26,"aco",4
4,1,2,"M328",26,"aco",8
4,1,2,"M328",26,"aco",9
4,1,1,"M328",26,"aco",8
3,1,2,"M329",26,"aco",9
3,1,2,"M329",26,"aco",10
2,1,1,"M329",26,"aco",9
2,1,1,"M329",26,"aco",10
3,1,2,"M330",26,"aco",9
3,1,2,"M330",26,"aco",10
3,1,1,"M330",26,"aco",10
4,1,1,"M330",26,"aco",11
