"t";"evento";"sujeto";"fase";"sesion"
0;12;"M331";"acq";19
0;12;"M331";"acq";19
0;12;"M331";"acq";19
0;12;"M331";"acq";19
0;12;"M331";"acq";19
0;51;"M331";"acq";19
29;11;"M331";"acq";19
34;12;"M331";"acq";19
61;11;"M331";"acq";19
143;11;"M331";"acq";19
146;11;"M331";"acq";19
190;11;"M331";"acq";19
192;11;"M331";"acq";19
198;11;"M331";"acq";19
237;11;"M331";"acq";19
252;11;"M331";"acq";19
275;11;"M331";"acq";19
283;12;"M331";"acq";19
290;11;"M331";"acq";19
299;11;"M331";"acq";19
305;11;"M331";"acq";19
317;11;"M331";"acq";19
326;12;"M331";"acq";19
337;11;"M331";"acq";19
342;11;"M331";"acq";19
358;11;"M331";"acq";19
370;11;"M331";"acq";19
377;11;"M331";"acq";19
381;11;"M331";"acq";19
406;11;"M331";"acq";19
407;11;"M331";"acq";19
417;11;"M331";"acq";19
423;11;"M331";"acq";19
429;11;"M331";"acq";19
454;11;"M331";"acq";19
470;12;"M331";"acq";19
483;11;"M331";"acq";19
500;11;"M331";"acq";19
509;11;"M331";"acq";19
520;11;"M331";"acq";19
533;11;"M331";"acq";19
537;12;"M331";"acq";19
562;11;"M331";"acq";19
573;11;"M331";"acq";19
582;11;"M331";"acq";19
595;12;"M331";"acq";19
612;11;"M331";"acq";19
612;21;"M331";"acq";19
616;12;"M331";"acq";19
662;31;"M331";"acq";19
668;12;"M331";"acq";19
669;12;"M331";"acq";19
674;12;"M331";"acq";19
676;12;"M331";"acq";19
728;12;"M331";"acq";19
730;12;"M331";"acq";19
762;5;"M331";"acq";19
778;12;"M331";"acq";19
789;12;"M331";"acq";19
804;12;"M331";"acq";19
909;12;"M331";"acq";19
1210;1;"M331";"acq";19
1292;12;"M331";"acq";19
1314;1;"M331";"acq";19
1318;1;"M331";"acq";19
1334;1;"M331";"acq";19
1344;12;"M331";"acq";19
1362;1;"M331";"acq";19
1365;1;"M331";"acq";19
1365;2;"M331";"acq";19
1370;12;"M331";"acq";19
1415;3;"M331";"acq";19
1422;12;"M331";"acq";19
1426;12;"M331";"acq";19
1429;12;"M331";"acq";19
1515;51;"M331";"acq";19
1524;12;"M331";"acq";19
1778;11;"M331";"acq";19
1791;12;"M331";"acq";19
1873;11;"M331";"acq";19
1882;11;"M331";"acq";19
1892;11;"M331";"acq";19
1894;11;"M331";"acq";19
1904;12;"M331";"acq";19
1914;11;"M331";"acq";19
1940;11;"M331";"acq";19
1950;11;"M331";"acq";19
1971;11;"M331";"acq";19
1974;11;"M331";"acq";19
1978;11;"M331";"acq";19
1999;11;"M331";"acq";19
2006;11;"M331";"acq";19
2012;11;"M331";"acq";19
2030;11;"M331";"acq";19
2044;11;"M331";"acq";19
2049;11;"M331";"acq";19
2058;12;"M331";"acq";19
2069;11;"M331";"acq";19
2074;11;"M331";"acq";19
2090;11;"M331";"acq";19
2097;11;"M331";"acq";19
2106;11;"M331";"acq";19
2116;11;"M331";"acq";19
2116;21;"M331";"acq";19
2121;12;"M331";"acq";19
2166;31;"M331";"acq";19
2171;12;"M331";"acq";19
2176;12;"M331";"acq";19
2180;12;"M331";"acq";19
2201;12;"M331";"acq";19
2203;12;"M331";"acq";19
2210;12;"M331";"acq";19
2251;12;"M331";"acq";19
2261;12;"M331";"acq";19
2263;12;"M331";"acq";19
2266;5;"M331";"acq";19
2268;12;"M331";"acq";19
2272;12;"M331";"acq";19
2283;12;"M331";"acq";19
2291;12;"M331";"acq";19
2293;12;"M331";"acq";19
2295;12;"M331";"acq";19
2307;12;"M331";"acq";19
2309;12;"M331";"acq";19
2314;12;"M331";"acq";19
2315;12;"M331";"acq";19
2324;12;"M331";"acq";19
2553;1;"M331";"acq";19
2621;1;"M331";"acq";19
2632;1;"M331";"acq";19
2634;1;"M331";"acq";19
2636;1;"M331";"acq";19
2656;1;"M331";"acq";19
2663;1;"M331";"acq";19
2666;1;"M331";"acq";19
2673;1;"M331";"acq";19
2677;1;"M331";"acq";19
2681;1;"M331";"acq";19
2695;1;"M331";"acq";19
2703;1;"M331";"acq";19
2705;1;"M331";"acq";19
2725;1;"M331";"acq";19
2726;1;"M331";"acq";19
2736;1;"M331";"acq";19
2746;1;"M331";"acq";19
2750;1;"M331";"acq";19
2754;1;"M331";"acq";19
2762;1;"M331";"acq";19
2783;1;"M331";"acq";19
2786;1;"M331";"acq";19
2790;1;"M331";"acq";19
2793;1;"M331";"acq";19
2796;1;"M331";"acq";19
2798;1;"M331";"acq";19
2816;1;"M331";"acq";19
2821;1;"M331";"acq";19
2825;1;"M331";"acq";19
2857;1;"M331";"acq";19
2860;1;"M331";"acq";19
2862;1;"M331";"acq";19
2889;1;"M331";"acq";19
2889;2;"M331";"acq";19
2896;12;"M331";"acq";19
2939;3;"M331";"acq";19
2946;12;"M331";"acq";19
2948;12;"M331";"acq";19
2951;12;"M331";"acq";19
2954;12;"M331";"acq";19
2959;12;"M331";"acq";19
2994;12;"M331";"acq";19
3035;12;"M331";"acq";19
3039;51;"M331";"acq";19
3102;12;"M331";"acq";19
3103;12;"M331";"acq";19
3449;11;"M331";"acq";19
3544;11;"M331";"acq";19
3558;11;"M331";"acq";19
3561;11;"M331";"acq";19
3587;11;"M331";"acq";19
3600;11;"M331";"acq";19
3618;11;"M331";"acq";19
3626;11;"M331";"acq";19
3635;11;"M331";"acq";19
3642;11;"M331";"acq";19
3642;21;"M331";"acq";19
3647;12;"M331";"acq";19
3692;31;"M331";"acq";19
3700;12;"M331";"acq";19
3705;12;"M331";"acq";19
3712;12;"M331";"acq";19
3713;12;"M331";"acq";19
3717;12;"M331";"acq";19
3730;12;"M331";"acq";19
3743;12;"M331";"acq";19
3753;12;"M331";"acq";19
3760;12;"M331";"acq";19
3765;12;"M331";"acq";19
3776;12;"M331";"acq";19
3788;12;"M331";"acq";19
3792;5;"M331";"acq";19
3795;12;"M331";"acq";19
3797;12;"M331";"acq";19
3831;12;"M331";"acq";19
3933;12;"M331";"acq";19
3949;12;"M331";"acq";19
3968;1;"M331";"acq";19
4180;1;"M331";"acq";19
4259;12;"M331";"acq";19
4267;1;"M331";"acq";19
4280;1;"M331";"acq";19
4293;1;"M331";"acq";19
4298;1;"M331";"acq";19
4303;1;"M331";"acq";19
4310;1;"M331";"acq";19
4314;1;"M331";"acq";19
4317;1;"M331";"acq";19
4319;1;"M331";"acq";19
4323;1;"M331";"acq";19
4326;1;"M331";"acq";19
4344;1;"M331";"acq";19
4352;1;"M331";"acq";19
4363;1;"M331";"acq";19
4369;1;"M331";"acq";19
4376;1;"M331";"acq";19
4393;1;"M331";"acq";19
4393;2;"M331";"acq";19
4398;12;"M331";"acq";19
4443;3;"M331";"acq";19
4456;12;"M331";"acq";19
4459;12;"M331";"acq";19
4460;12;"M331";"acq";19
4462;12;"M331";"acq";19
4528;12;"M331";"acq";19
4543;51;"M331";"acq";19
4784;11;"M331";"acq";19
4788;12;"M331";"acq";19
4804;12;"M331";"acq";19
4812;12;"M331";"acq";19
4828;12;"M331";"acq";19
4863;11;"M331";"acq";19
4920;11;"M331";"acq";19
4948;12;"M331";"acq";19
4961;11;"M331";"acq";19
4965;11;"M331";"acq";19
4975;11;"M331";"acq";19
4998;11;"M331";"acq";19
5007;11;"M331";"acq";19
5026;11;"M331";"acq";19
5051;11;"M331";"acq";19
5071;11;"M331";"acq";19
5078;11;"M331";"acq";19
5090;11;"M331";"acq";19
5097;11;"M331";"acq";19
5102;11;"M331";"acq";19
5116;11;"M331";"acq";19
5121;11;"M331";"acq";19
5124;11;"M331";"acq";19
5131;11;"M331";"acq";19
5146;11;"M331";"acq";19
5146;21;"M331";"acq";19
5152;12;"M331";"acq";19
5196;31;"M331";"acq";19
5202;12;"M331";"acq";19
5205;12;"M331";"acq";19
5210;12;"M331";"acq";19
5213;12;"M331";"acq";19
5214;12;"M331";"acq";19
5215;12;"M331";"acq";19
5229;12;"M331";"acq";19
5230;12;"M331";"acq";19
5245;12;"M331";"acq";19
5272;12;"M331";"acq";19
5275;12;"M331";"acq";19
5275;12;"M331";"acq";19
5276;12;"M331";"acq";19
5294;12;"M331";"acq";19
5296;51;"M331";"acq";19
5300;12;"M331";"acq";19
5303;12;"M331";"acq";19
5309;12;"M331";"acq";19
5310;12;"M331";"acq";19
5314;12;"M331";"acq";19
5316;12;"M331";"acq";19
5329;12;"M331";"acq";19
5332;12;"M331";"acq";19
5338;12;"M331";"acq";19
5340;12;"M331";"acq";19
5348;12;"M331";"acq";19
5354;12;"M331";"acq";19
5355;12;"M331";"acq";19
5357;12;"M331";"acq";19
