"t";"evento";"sujeto";"fase";"sesion"
0;12;"M326";"acq";12
0;12;"M326";"acq";12
0;12;"M326";"acq";12
0;12;"M326";"acq";12
0;12;"M326";"acq";12
0;12;"M326";"acq";12
0;12;"M326";"acq";12
0;12;"M326";"acq";12
0;12;"M326";"acq";12
0;12;"M326";"acq";12
0;12;"M326";"acq";12
0;12;"M326";"acq";12
0;12;"M326";"acq";12
0;12;"M326";"acq";12
0;12;"M326";"acq";12
0;12;"M326";"acq";12
0;12;"M326";"acq";12
0;12;"M326";"acq";12
0;51;"M326";"acq";12
23;12;"M326";"acq";12
33;12;"M326";"acq";12
75;11;"M326";"acq";12
79;12;"M326";"acq";12
104;11;"M326";"acq";12
140;12;"M326";"acq";12
151;12;"M326";"acq";12
162;11;"M326";"acq";12
166;12;"M326";"acq";12
182;12;"M326";"acq";12
187;12;"M326";"acq";12
193;12;"M326";"acq";12
198;12;"M326";"acq";12
231;11;"M326";"acq";12
235;11;"M326";"acq";12
276;11;"M326";"acq";12
280;12;"M326";"acq";12
285;12;"M326";"acq";12
294;12;"M326";"acq";12
311;11;"M326";"acq";12
316;11;"M326";"acq";12
321;11;"M326";"acq";12
327;11;"M326";"acq";12
334;11;"M326";"acq";12
344;12;"M326";"acq";12
354;12;"M326";"acq";12
408;12;"M326";"acq";12
414;12;"M326";"acq";12
422;11;"M326";"acq";12
429;11;"M326";"acq";12
439;11;"M326";"acq";12
447;11;"M326";"acq";12
451;11;"M326";"acq";12
455;12;"M326";"acq";12
515;12;"M326";"acq";12
526;12;"M326";"acq";12
527;12;"M326";"acq";12
533;11;"M326";"acq";12
538;12;"M326";"acq";12
552;11;"M326";"acq";12
552;21;"M326";"acq";12
556;12;"M326";"acq";12
602;31;"M326";"acq";12
702;51;"M326";"acq";12
1087;12;"M326";"acq";12
1123;11;"M326";"acq";12
1138;11;"M326";"acq";12
1149;11;"M326";"acq";12
1160;11;"M326";"acq";12
1174;11;"M326";"acq";12
1184;12;"M326";"acq";12
1210;12;"M326";"acq";12
1225;11;"M326";"acq";12
1241;11;"M326";"acq";12
1256;11;"M326";"acq";12
1256;21;"M326";"acq";12
1261;12;"M326";"acq";12
1306;31;"M326";"acq";12
1406;53;"M326";"acq";12
1508;12;"M326";"acq";12
1549;12;"M326";"acq";12
1654;12;"M326";"acq";12
1671;1;"M326";"acq";12
1675;12;"M326";"acq";12
1685;12;"M326";"acq";12
1709;1;"M326";"acq";12
1712;12;"M326";"acq";12
1721;12;"M326";"acq";12
1764;1;"M326";"acq";12
1776;1;"M326";"acq";12
1780;12;"M326";"acq";12
1786;12;"M326";"acq";12
1833;1;"M326";"acq";12
1855;12;"M326";"acq";12
1859;12;"M326";"acq";12
1867;12;"M326";"acq";12
1880;12;"M326";"acq";12
1904;1;"M326";"acq";12
1929;1;"M326";"acq";12
1942;1;"M326";"acq";12
1957;1;"M326";"acq";12
1960;1;"M326";"acq";12
1965;12;"M326";"acq";12
1971;12;"M326";"acq";12
1979;12;"M326";"acq";12
1990;12;"M326";"acq";12
2042;1;"M326";"acq";12
2046;1;"M326";"acq";12
2083;1;"M326";"acq";12
2087;12;"M326";"acq";12
2091;12;"M326";"acq";12
2099;12;"M326";"acq";12
2164;1;"M326";"acq";12
2169;12;"M326";"acq";12
2174;12;"M326";"acq";12
2181;12;"M326";"acq";12
2206;1;"M326";"acq";12
2214;1;"M326";"acq";12
2222;1;"M326";"acq";12
2230;1;"M326";"acq";12
2238;1;"M326";"acq";12
2249;1;"M326";"acq";12
2251;1;"M326";"acq";12
2259;12;"M326";"acq";12
2265;12;"M326";"acq";12
2282;12;"M326";"acq";12
2331;1;"M326";"acq";12
2339;1;"M326";"acq";12
2343;1;"M326";"acq";12
2357;12;"M326";"acq";12
2384;12;"M326";"acq";12
2421;1;"M326";"acq";12
2455;1;"M326";"acq";12
2461;1;"M326";"acq";12
2464;12;"M326";"acq";12
2467;12;"M326";"acq";12
2478;12;"M326";"acq";12
2537;12;"M326";"acq";12
3016;12;"M326";"acq";12
3079;1;"M326";"acq";12
3085;1;"M326";"acq";12
3098;1;"M326";"acq";12
3103;12;"M326";"acq";12
3110;12;"M326";"acq";12
3160;1;"M326";"acq";12
3171;1;"M326";"acq";12
3179;12;"M326";"acq";12
3186;12;"M326";"acq";12
3196;12;"M326";"acq";12
3206;33;"M326";"acq";12
3306;51;"M326";"acq";12
3387;11;"M326";"acq";12
3394;12;"M326";"acq";12
3404;11;"M326";"acq";12
3410;11;"M326";"acq";12
3420;11;"M326";"acq";12
3431;11;"M326";"acq";12
3437;11;"M326";"acq";12
3446;11;"M326";"acq";12
3454;12;"M326";"acq";12
3492;12;"M326";"acq";12
3498;12;"M326";"acq";12
3524;11;"M326";"acq";12
3534;11;"M326";"acq";12
3556;11;"M326";"acq";12
3564;11;"M326";"acq";12
3569;11;"M326";"acq";12
3580;12;"M326";"acq";12
3586;12;"M326";"acq";12
3592;12;"M326";"acq";12
3595;12;"M326";"acq";12
3600;12;"M326";"acq";12
3616;12;"M326";"acq";12
3643;12;"M326";"acq";12
3661;12;"M326";"acq";12
3666;12;"M326";"acq";12
3695;11;"M326";"acq";12
3745;11;"M326";"acq";12
3766;12;"M326";"acq";12
3770;12;"M326";"acq";12
3773;12;"M326";"acq";12
3795;12;"M326";"acq";12
3806;11;"M326";"acq";12
3823;12;"M326";"acq";12
3837;11;"M326";"acq";12
3863;11;"M326";"acq";12
3863;21;"M326";"acq";12
3868;12;"M326";"acq";12
3913;31;"M326";"acq";12
4013;5;"M326";"acq";12
4100;12;"M326";"acq";12
4112;12;"M326";"acq";12
4543;1;"M326";"acq";12
4556;1;"M326";"acq";12
4562;12;"M326";"acq";12
4568;12;"M326";"acq";12
4609;12;"M326";"acq";12
4615;1;"M326";"acq";12
4616;2;"M326";"acq";12
4621;12;"M326";"acq";12
4666;3;"M326";"acq";12
4766;5;"M326";"acq";12
4880;12;"M326";"acq";12
4904;12;"M326";"acq";12
4907;12;"M326";"acq";12
4907;12;"M326";"acq";12
4908;12;"M326";"acq";12
5394;12;"M326";"acq";12
5439;1;"M326";"acq";12
5448;1;"M326";"acq";12
5451;12;"M326";"acq";12
5492;1;"M326";"acq";12
5499;2;"M326";"acq";12
5505;12;"M326";"acq";12
5549;3;"M326";"acq";12
5649;51;"M326";"acq";12
5823;12;"M326";"acq";12
6107;11;"M326";"acq";12
6113;12;"M326";"acq";12
6167;11;"M326";"acq";12
6176;11;"M326";"acq";12
6188;11;"M326";"acq";12
6193;11;"M326";"acq";12
6200;11;"M326";"acq";12
6212;11;"M326";"acq";12
6220;11;"M326";"acq";12
6234;11;"M326";"acq";12
6243;12;"M326";"acq";12
6250;12;"M326";"acq";12
6255;12;"M326";"acq";12
6269;11;"M326";"acq";12
6269;21;"M326";"acq";12
6272;12;"M326";"acq";12
6319;31;"M326";"acq";12
6419;51;"M326";"acq";12
6504;12;"M326";"acq";12
6807;12;"M326";"acq";12
6825;11;"M326";"acq";12
6886;12;"M326";"acq";12
6913;12;"M326";"acq";12
6930;12;"M326";"acq";12
6941;11;"M326";"acq";12
6948;11;"M326";"acq";12
6958;11;"M326";"acq";12
6966;11;"M326";"acq";12
6973;11;"M326";"acq";12
6979;11;"M326";"acq";12
6992;11;"M326";"acq";12
6998;12;"M326";"acq";12
7012;11;"M326";"acq";12
7018;11;"M326";"acq";12
7037;11;"M326";"acq";12
7037;21;"M326";"acq";12
7042;12;"M326";"acq";12
7087;31;"M326";"acq";12
7187;5;"M326";"acq";12
7336;12;"M326";"acq";12
7353;12;"M326";"acq";12
7680;12;"M326";"acq";12
7729;1;"M326";"acq";12
7780;1;"M326";"acq";12
7789;2;"M326";"acq";12
7792;1;"M326";"acq";12
7795;12;"M326";"acq";12
7839;3;"M326";"acq";12
7939;54;"M326";"acq";12
8087;12;"M326";"acq";12
8100;12;"M326";"acq";12
8454;12;"M326";"acq";12
8462;11;"M326";"acq";12
8468;11;"M326";"acq";12
8477;11;"M326";"acq";12
8534;11;"M326";"acq";12
8537;11;"M326";"acq";12
8546;11;"M326";"acq";12
8551;12;"M326";"acq";12
8568;11;"M326";"acq";12
8577;11;"M326";"acq";12
8583;11;"M326";"acq";12
8586;11;"M326";"acq";12
8590;11;"M326";"acq";12
8595;12;"M326";"acq";12
8615;12;"M326";"acq";12
8622;11;"M326";"acq";12
8684;12;"M326";"acq";12
8708;11;"M326";"acq";12
8719;12;"M326";"acq";12
8740;12;"M326";"acq";12
8769;11;"M326";"acq";12
8778;11;"M326";"acq";12
8784;12;"M326";"acq";12
8802;11;"M326";"acq";12
8810;11;"M326";"acq";12
8819;11;"M326";"acq";12
8827;11;"M326";"acq";12
8829;11;"M326";"acq";12
8836;11;"M326";"acq";12
8841;12;"M326";"acq";12
8904;12;"M326";"acq";12
8913;12;"M326";"acq";12
8922;11;"M326";"acq";12
8929;11;"M326";"acq";12
8938;11;"M326";"acq";12
8944;11;"M326";"acq";12
8949;11;"M326";"acq";12
8954;11;"M326";"acq";12
8964;11;"M326";"acq";12
8970;12;"M326";"acq";12
8971;12;"M326";"acq";12
8977;12;"M326";"acq";12
9010;12;"M326";"acq";12
9028;12;"M326";"acq";12
9075;11;"M326";"acq";12
9089;12;"M326";"acq";12
9097;12;"M326";"acq";12
9113;11;"M326";"acq";12
9130;11;"M326";"acq";12
9141;11;"M326";"acq";12
9153;11;"M326";"acq";12
9161;12;"M326";"acq";12
9213;11;"M326";"acq";12
